species	body	brain
Saguinus_oedipus	372	10.97
Saguinus_oedipus	413	9.8
Saimiri_oerstedii	167	19.4
Saimiri_oerstedii	603	25
Saimiri_oerstedii	737	23
Saimiri_oerstedii	893	26.4
Saimiri_oerstedii	907	25.3
Saimiri_sciureus	270	21.5
Saimiri_sciureus	327	22.18
Saimiri_sciureus	345	19.65
Saimiri_sciureus	406.7	20.42
Saimiri_sciureus	544	21.21
Saimiri_sciureus	560	24.12
Saimiri_sciureus	630	24.8
Semnopithecus_entellus	6647	117
Semnopithecus_entellus	21319	119.4
Symphalangus_syndactylus	2057	116
Symphalangus_syndactylus	9490	130
Symphalangus_syndactylus	9490	130
Symphalangus_syndactylus	9500	130
Symphalangus_syndactylus	11793	128
Symphalangus_syndactylus	12701	139.5
Symphalangus_syndactylus	12744	133
Theropithecus_gelada	7710	130
Trachypithecus_cristatus	3600	66.5
Trachypithecus_cristatus	4500	73
Trachypithecus_cristatus	4950	73
Trachypithecus_cristatus	5670	60
Trachypithecus_cristatus	6800	57.5
Trachypithecus_cristatus	6804	81.65
Trachypithecus_cristatus	6900	66
Trachypithecus_cristatus	6900	66
Trachypithecus_cristatus	6900	68
Trachypithecus_cristatus	6970	57.5
Trachypithecus_cristatus	6970	68
Trachypithecus_cristatus	7500	73
Trachypithecus_cristatus	8100	71
Trachypithecus_cristatus	8100	81
Trachypithecus_cristatus	8750	78
Trachypithecus_cristatus	8800	70
Trachypithecus_cristatus	10000	81
Trachypithecus_cristatus	16500	78
Trachypithecus_cristatus	16500	81.7
Trachypithecus_obscurus	2520	57.8
Trachypithecus_obscurus	2730	62.8
Trachypithecus_obscurus	3170	65
Trachypithecus_obscurus	3230	64.4
Trachypithecus_obscurus	3630	60.5
Trachypithecus_obscurus	4530	64.4
Trachypithecus_obscurus	4530	72
Trachypithecus_obscurus	4760	60.5
Trachypithecus_obscurus	5110	56.7
Trachypithecus_obscurus	5210	64.4
Trachypithecus_obscurus	5280	57.8
Trachypithecus_obscurus	5900	64.3
Trachypithecus_obscurus	6120	76
Trachypithecus_obscurus	6470	62.8
Trachypithecus_obscurus	6540	67.8
Trachypithecus_obscurus	7030	64.7
Varecia_variegata_variegata	1250	24
Varecia_variegata_variegata	2040	30
Varecia_variegata_variegata	2169.5	28.7
Varecia_variegata_variegata	2720	32
Varecia_variegata_variegata	3062	31.3
Varecia_variegata_variegata	3411	33
Varecia_variegata_variegata	3700	32
